HoloWAN Recorder File (www.msytest.com)
Operator: "中国电信" NetworkType: "Unknown" SignalStrength: -115(dbm)
test_name: "xicen(01-17 21:59:55)"
Destination: "172.30.153.236:8081"
Start Time: 2026-01-17 21:59:55
End Time: 2026-01-17 23:39:59
Interval(sec): 0.1
Packet Size(byte): 500
Loss Average: 10
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
16.92,0.00,0.083200,16.92,0.00,0.208000
15.93,0.00,0.124800,15.93,0.00,0.208000
17.80,0.00,0.083200,17.80,0.00,0.166400
13.31,0.00,0.124800,13.31,0.00,0.208000
13.42,33.33,0.083200,13.42,0.00,0.208000
13.94,0.00,0.083200,13.94,0.00,0.208000
17.55,33.33,0.083200,17.55,0.00,0.208000
24.82,0.00,0.124800,24.82,0.00,0.208000
15.20,0.00,0.083200,15.20,20.00,0.166400
17.07,0.00,0.124800,17.07,0.00,0.208000
15.29,0.00,0.083200,15.29,0.00,0.208000
17.16,0.00,0.124800,17.16,0.00,0.208000
19.24,0.00,0.083200,19.24,0.00,0.208000
24.61,0.00,0.124800,24.61,20.00,0.166400
15.44,33.33,0.083200,15.44,0.00,0.208000
16.89,0.00,0.083200,16.89,20.00,0.166400
16.95,100.00,0.000000,16.95,0.00,0.249600
16.12,50.00,0.041600,16.12,0.00,0.166400
15.00,0.00,0.166400,15.00,0.00,0.208000
17.25,33.33,0.083200,17.25,0.00,0.208000
16.53,0.00,0.124800,16.53,0.00,0.208000
16.94,66.67,0.041600,16.94,0.00,0.208000
15.65,0.00,0.083200,15.65,0.00,0.208000
17.02,0.00,0.083200,17.02,20.00,0.166400
77.00,0.00,0.124800,77.00,0.00,0.208000
77.00,50.00,0.041600,77.00,0.00,0.208000
18.29,33.33,0.083200,18.29,0.00,0.208000
23.27,0.00,0.083200,23.27,20.00,0.166400
27.41,66.67,0.041600,27.41,0.00,0.249600
32.81,0.00,0.083200,32.81,20.00,0.166400
27.86,50.00,0.041600,27.86,0.00,0.208000
16.57,33.33,0.083200,16.57,0.00,0.208000
25.41,0.00,0.083200,25.41,0.00,0.208000
27.55,66.67,0.041600,27.55,0.00,0.208000
24.92,0.00,0.124800,24.92,20.00,0.166400
34.83,50.00,0.041600,34.83,0.00,0.208000
25.49,33.33,0.083200,25.49,0.00,0.208000
38.22,0.00,0.083200,38.22,0.00,0.208000
30.69,33.33,0.083200,30.69,0.00,0.208000
34.63,50.00,0.041600,34.63,20.00,0.166400
31.02,100.00,0.000000,31.02,0.00,0.208000
27.84,66.67,0.041600,27.84,0.00,0.208000
25.11,100.00,0.000000,25.11,0.00,0.208000
35.24,66.67,0.041600,35.24,0.00,0.208000
45.23,50.00,0.041600,45.23,20.00,0.166400
41.00,100.00,0.000000,41.00,0.00,0.208000
45.32,66.67,0.041600,45.32,0.00,0.208000
35.62,50.00,0.041600,35.62,0.00,0.208000
25.00,66.67,0.041600,25.00,0.00,0.208000
46.37,100.00,0.000000,46.37,20.00,0.166400
47.50,50.00,0.041600,47.50,0.00,0.208000
54.76,100.00,0.000000,54.76,0.00,0.208000
